reviewId,content,score,cleaned_text,Sentiment,cleaned_text_tokenized,Dominant_Topic
7457a06e-1627-4d08-90e1-20217dce2b59,Apss boring,1,apss boring,Negative,"['apss', 'boring']",0
7af0af68-413a-4c06-82de-96b50a3b543a,It's the worst music app I've ever seen since it requires premium in almost everything and the advertisement are just horrible. It's getting worse day by day.,1,seen since requires premium almost everything advertisement horrible getting worse day day,Negative,"['seen', 'since', 'requires', 'premium', 'almost', 'everything', 'advertisement', 'horrible', 'getting', 'worse', 'day', 'day']",0
054038cb-75fc-4102-8a20-f14366e33d09,Asking too many Irrelevant questions and songs are not play.,1,asking irrelevant question,Negative,"['asking', 'irrelevant', 'question']",0
0dc86a72-d049-4c24-8da7-37ecc954c908,Poor experience. Always shown buying message.,1,poor experience shown buying message,Negative,"['poor', 'experience', 'shown', 'buying', 'message']",0
e814d5f6-73ce-4344-8711-8b51f8803e18,Too many advertisement pushing for premium,3,advertisement pushing premium,Negative,"['advertisement', 'pushing', 'premium']",0
c7a0d898-8dec-401b-a605-7bee559f2769,Worst app after the update Remove all the premiums to grow,1,update remove premium grow,Negative,"['update', 'remove', 'premium', 'grow']",0
8d1a7c26-4feb-4553-a9da-3615616c88c7,Once Spotify was my favourite but now I really don't have words to describe.Dudeyou are asking me to go for premium but I can't even afford aofcourse you provide free premium service for students upto a month and after thatit's back(our normal life) I know it's ur business trick to earn and I'm not opposing it but I kindly request you to reduce the adds.This is my first time writing a reviewand thank you for having only 500 words option orelse I was about to write a whole story,3,favourite word describedudeyou asking go premium afford aofcourse provide free premium service student upto month thatits backour normal life know ur business trick earn opposing kindly request reduce addsthis first time writing reviewand 500 word option orelse write whole story,Negative,"['favourite', 'word', 'describedudeyou', 'asking', 'go', 'premium', 'afford', 'aofcourse', 'provide', 'free', 'premium', 'service', 'student', 'upto', 'month', 'thatits', 'backour', 'normal', 'life', 'know', 'ur', 'business', 'trick', 'earn', 'opposing', 'kindly', 'request', 'reduce', 'addsthis', 'first', 'time', 'writing', 'reviewand', '500', 'word', 'option', 'orelse', 'write', 'whole', 'story']",0
a1313b88-04ea-435a-96c0-966db9bc54c4,Invoice header: *** Inc.,1,invoice header inc,Negative,"['invoice', 'header', 'inc']",0
31838bbc-c68f-4d5d-ab9f-242ffb9b0957,Very bad experience,1,experience,Negative,['experience'],0
60b26a61-14c1-40bf-b8f2-4c2abb8175c5,Great app for music.But there is one big BIG problem with spotify free after the advertisement it says that enjoy 30 minutes of uninterrupted listening but why do I get advertisement 2mins after the last one,3,musicbut big big problem free advertisement say minute uninterrupted advertisement 2mins last,Negative,"['musicbut', 'big', 'big', 'problem', 'free', 'advertisement', 'say', 'minute', 'uninterrupted', 'advertisement', '2mins', 'last']",0
86ebca5a-59e1-4c6d-b254-d0de84570c43,Too many advertisement!! So annoying app,1,advertisement annoying,Negative,"['advertisement', 'annoying']",0
4041d0e8-1087-4c59-a926-a4eb0ba57c2f,Bro why can't we check the blend percentage again wth wht did they remove it,2,bro check blend percentage wth wht remove,Negative,"['bro', 'check', 'blend', 'percentage', 'wth', 'wht', 'remove']",0
04653ca5-5ac5-42e9-b17a-9e4fb2dd4c5f,Very expensive,1,expensive,Negative,['expensive'],0
3286601e-978f-48e2-bdfc-c9f900eb43f1,I want to give 0 Star for this app,1,give 0 star,Negative,"['give', '0', 'star']",0
e09f8bc2-a676-4285-9e74-2bb396b5a246,No audiobooks in Europe. Will update review once it will be available here too.,1,audiobooks europe update review available,Negative,"['audiobooks', 'europe', 'update', 'review', 'available']",0
e8da11d4-19b2-40c4-8713-34068e74081e,No music app it's advertisement app,1,advertisement,Negative,['advertisement'],0
ab3a482e-e331-4158-8bb1-8c121b44d167,"i think the artists should get better compensation, and treat the people who can't afford a subscription better",2,think artist compensation treat people afford subscription,Negative,"['think', 'artist', 'compensation', 'treat', 'people', 'afford', 'subscription']",0
444c53c4-b360-469e-8cf0-6b31c52ebeee,"This app is making itself into a joke. Every single song is followed by a kamala Harris commercial. It's comepletely obnoxious and if this company is stupid enough to take that kinda political stand, I genuinely hope you go out of business. If it's not a political stand, fix your broken app that keeps playing the same trash commercial. If it continues I will delete this app and find better.",1,making joke every single followed kamala harris commercial comepletely obnoxious company stupid enough take kinda political stand genuinely hope go business political stand fix broken keep playing trash commercial continues delete find,Negative,"['making', 'joke', 'every', 'single', 'followed', 'kamala', 'harris', 'commercial', 'comepletely', 'obnoxious', 'company', 'stupid', 'enough', 'take', 'kinda', 'political', 'stand', 'genuinely', 'hope', 'go', 'business', 'political', 'stand', 'fix', 'broken', 'keep', 'playing', 'trash', 'commercial', 'continues', 'delete', 'find']",0
37cd9988-4f0a-4224-9228-27c6324267e2,"Legend use Spotify premium mod apk , it's better than this ,"" spottyfi """,1,legend premium mod apk spottyfi,Negative,"['legend', 'premium', 'mod', 'apk', 'spottyfi']",0
793250cd-e3ea-49cb-8ea0-d8cf6addbb4b,This app crrator is a beggar!!!! 1 star!,1,crrator beggar 1 star,Negative,"['crrator', 'beggar', '1', 'star']",0
467e4190-fbf0-44eb-97ba-812da9ca224a,I can't play any song's in this app pls help me im wasting my money if i can't use it,1,pls help wasting money,Negative,"['pls', 'help', 'wasting', 'money']",0
a571b428-bdc1-4b4e-aefa-c9766f252a5a,how can i cancel my payment plan?,1,cancel payment plan,Negative,"['cancel', 'payment', 'plan']",0
41f7503a-dc9c-4715-bf78-c95ea1ec1b04,To much advertisement,1,advertisement,Negative,['advertisement'],0
aba64573-2edb-4d1a-b4da-ebcd231958d3,Going to delete For not giving normal features,1,going delete giving normal feature,Negative,"['going', 'delete', 'giving', 'normal', 'feature']",0
cafee60f-24ea-48ac-a465-bd67a2a4d5c5,"""enjoy the next 30 minutes of uninterrupted listening"" *every song gets a instant advertisement of 1 minute...*",1,next minute uninterrupted every instant advertisement 1 minute,Negative,"['next', 'minute', 'uninterrupted', 'every', 'instant', 'advertisement', '1', 'minute']",0
67e8b694-0194-4829-8cb9-4288630dd522,Amazing app for music but now everything is premium,2,everything premium,Negative,"['everything', 'premium']",0
649d77f1-0307-4f3a-b2f9-850e2a2728ee,I so stupid you gotta pay for everything,1,stupid got ta pay everything,Negative,"['stupid', 'got', 'ta', 'pay', 'everything']",0
f3b969fe-3ee1-4354-8cd9-6ba942aec97f,I paid twice for Spotify premium. Still cannot get it,1,paid twice premium still,Negative,"['paid', 'twice', 'premium', 'still']",0
e07016a7-0018-4cd5-b8cf-323d0fbd87f3,"What is with the political advertisement, bad enough I have to see them every 10 minutes on television. I don't like homala Harris, stop trying to push her on people!",2,political advertisement enough see every 10 minute television homala harris stop trying push people,Negative,"['political', 'advertisement', 'enough', 'see', 'every', '10', 'minute', 'television', 'homala', 'harris', 'stop', 'trying', 'push', 'people']",0
91035e9f-2c4c-4472-896e-6b82127cd7f7,Very Limited features....,2,limited feature,Negative,"['limited', 'feature']",0
756d92d2-d98f-4795-b128-a4c8de609340,no one waste music app,1,waste,Negative,['waste'],0
b8f67777-a4ec-4823-b67d-b6837d9c7c86,Too many advertisement,1,advertisement,Negative,['advertisement'],0
afd08db4-d972-4cb4-9000-825f0ec8946d,"i have to pay for literally everything, like why would i pay to play the music i want to listen to",1,pay literally everything would pay,Negative,"['pay', 'literally', 'everything', 'would', 'pay']",0
32bd7738-2345-48a1-93b7-5a81c061676a,"Are you Spotify people stupid or what, bro i just had to hear 4 advertisement in a row to listen to a song",1,people stupid bro hear 4 advertisement row,Negative,"['people', 'stupid', 'bro', 'hear', '4', 'advertisement', 'row']",0
fa1eb31e-cb6f-43c0-8ee6-bb7d314dbaff,I got scam form this app I buy the 1 week premium and didn't get it trash app,2,got scam form buy 1 week premium didnt trash,Negative,"['got', 'scam', 'form', 'buy', '1', 'week', 'premium', 'didnt', 'trash']",0
fc24e32d-70d9-4290-ab75-33c6f4d98bc8,"It was the best app , now its not. Everything requires premium for eg if we want to listen fav part of the song , it asks for premium . And if we want to change song it requires premium too. Even the premium cost for monthly package is too high.",1,everything requires premium eg fav part asks premium change requires premium premium cost monthly package high,Negative,"['everything', 'requires', 'premium', 'eg', 'fav', 'part', 'asks', 'premium', 'change', 'requires', 'premium', 'premium', 'cost', 'monthly', 'package', 'high']",0
989ff2f7-8987-4751-afe2-b9132107eb67,I BOUGHT A PREMIUM STUDENT AND I GOT CHARGED FOR IT BUT IT DIDNT WORK!!!!!!!!!!!!!!!!!!!!!!!,1,bought premium student got charged didnt work,Negative,"['bought', 'premium', 'student', 'got', 'charged', 'didnt', 'work']",0
19f158e5-8a05-4238-8d3c-6436688a8f03,The worst app I have seen,1,seen,Negative,['seen'],0
49744732-c5e5-406a-87e2-8e32aeb8045b,I like Spotify I just wish it was just a little cheaper. I understand we need to pay the artists but Pandora is like half the price.. I have so many subscriptions I need to cut back somewhere...,3,wish little cheaper understand pay artist pandora half price subscription cut back somewhere,Negative,"['wish', 'little', 'cheaper', 'understand', 'pay', 'artist', 'pandora', 'half', 'price', 'subscription', 'cut', 'back', 'somewhere']",0
8654f868-787c-4d52-b41d-62650d7fc5de,too much advertisement and features premium,1,advertisement feature premium,Negative,"['advertisement', 'feature', 'premium']",0
