reviewId,content,score,cleaned_text,Sentiment,cleaned_text_tokenized,Dominant_Topic
8b659206-b28a-4c83-9d39-95ca4e809781,Yay you fixed it,4,yay fixed,Positive,"['yay', 'fixed']",1
5e660d6e-cae6-44cc-bebd-edda574b4e23,"Expensive as hell, to just listen to music BUT worth the money. If you want my advice gather friends, make someone create a family acc and split the money, its gonna come around to 2-4",4,expensive hell worth money advice gather friend make someone create family acc split money come around 24,Positive,"['expensive', 'hell', 'worth', 'money', 'advice', 'gather', 'friend', 'make', 'someone', 'create', 'family', 'acc', 'split', 'money', 'come', 'around', '24']",1
4370e6f4-80a3-47d8-81bc-87aa182cd7c8,"Everything anyone could ask for even personalised to all your different playlists on a daily basis, don't know what I'd do without Spotify. Absolute champions",5,everything anyone could ask personalised different playlist daily basis know id without absolute champion,Positive,"['everything', 'anyone', 'could', 'ask', 'personalised', 'different', 'playlist', 'daily', 'basis', 'know', 'id', 'without', 'absolute', 'champion']",1
f51a0b97-b54c-4554-abc0-6c2234942776,Love this app! Has everything! No lags! AMAZING APP!!,5,everything lag,Positive,"['everything', 'lag']",1
cc034c5f-b0af-49b3-b200-42d7e0239dca,Mood app .,5,mood,Positive,['mood'],1
7bb40aa7-9ada-47a4-9ee0-cde8564937f6,Very good ,5,,Positive,[],1
87717c0a-fcb8-4238-a780-269f0b6ee1d1,I love spotify because of bts7 only.. excellent,5,bts7,Positive,['bts7'],1
4fe3465a-847c-45c8-826b-dadba0c87a0c,The Dynamics are much higher in the music when I listen to Spotify versus Pandora. I don't know if that's due to the controls within the app or because they use less compression. Either way it is a superior product. Personally for me there's no going back.,5,dynamic higher versus pandora know thats due control within less compression either superior product personally going back,Positive,"['dynamic', 'higher', 'versus', 'pandora', 'know', 'thats', 'due', 'control', 'within', 'less', 'compression', 'either', 'superior', 'product', 'personally', 'going', 'back']",1
dce0e2b6-a53d-4290-a82c-9bab7cddb6d0,"Its a great app, we need reduce on the frequency of update,",4,reduce frequency update,Positive,"['reduce', 'frequency', 'update']",1
21def292-62af-485c-9f38-d733270260c7,"Phenomenal platform, keep it  up",5,phenomenal platform keep,Positive,"['phenomenal', 'platform', 'keep']",1
91b38238-dce6-46bf-a87f-14b6686a0387,"Great streaming app, highly recommend.",5,streaming highly recommend,Positive,"['streaming', 'highly', 'recommend']",1
b947a643-f116-4f57-91cf-4995c96137d8,Perfect app for playing music,5,perfect playing,Positive,"['perfect', 'playing']",1
59b57cf2-cf9d-448a-ac10-ad5333cc79d8,"The app stopped working on my phone, I had to delete all offline songs, clear cache and reinstall it, even restarted my phone still nothing.",4,stopped working phone delete offline clear cache reinstall restarted phone still nothing,Positive,"['stopped', 'working', 'phone', 'delete', 'offline', 'clear', 'cache', 'reinstall', 'restarted', 'phone', 'still', 'nothing']",1
8d1469f1-541a-4330-aff7-f57b418a371c,Is good and efficiently,5,efficiently,Positive,['efficiently'],1
fc994537-77b4-4368-9b1d-533878082a96,My favorite happy to listen to music on,5,favorite happy,Positive,"['favorite', 'happy']",1
