reviewId,content,score,cleaned_text,Sentiment,cleaned_text_tokenized,Dominant_Topic
ef8a02d5-ead9-4314-b761-ca227eca3cf0,Very super duper musician and please remove premium,5,super duper musician please remove premium,Positive,"['super', 'duper', 'musician', 'please', 'remove', 'premium']",0
941f6460-317a-4338-af87-bc71995494b4,I love Spotify but recently wt... what i want to listen is my choice the premium plan advertisement telling what i choose needs to play next select premium..are you kidding i better uninstall now...my favourite app i use everybody is this one but...still,4,recently wt choice premium plan advertisement telling choose next select premiumare kidding uninstall nowmy favourite everybody butstill,Positive,"['recently', 'wt', 'choice', 'premium', 'plan', 'advertisement', 'telling', 'choose', 'next', 'select', 'premiumare', 'kidding', 'uninstall', 'nowmy', 'favourite', 'everybody', 'butstill']",0
740e9d17-a1de-46ed-9cdd-0d157d0f22cb,"I use Spotify almost everyday, it has my favorite songs and artists, even if your favorite artist has unrealased music you can find a episode of it. You can listen to different podcasts for free and if you have Spotify premium you can also listen to books.",5,almost everyday favorite artist favorite artist unrealased find episode different podcasts free premium also book,Positive,"['almost', 'everyday', 'favorite', 'artist', 'favorite', 'artist', 'unrealased', 'find', 'episode', 'different', 'podcasts', 'free', 'premium', 'also', 'book']",0
9a888e83-0ff3-4d9a-a052-ae27b0c0415a,"Quick and easy way to access playlists, very efficient search function. This is by far my favorite media app :)",5,quick easy access playlist efficient search function far favorite medium,Positive,"['quick', 'easy', 'access', 'playlist', 'efficient', 'search', 'function', 'far', 'favorite', 'medium']",0
a8571443-c166-475a-99c2-eac63cfcb25b,it's very good because you can hear music with your phone closed and I would give this five stars,5,hear phone closed would give five star,Positive,"['hear', 'phone', 'closed', 'would', 'give', 'five', 'star']",0
b2fda6d4-ce93-40a4-8aaf-a5db902bb586,Horrible last update. Cannot add songs more than once to a playlist. Though Overall app is great . Offers more than music. Also podcasts and audio books. Supports multiple devices.,4,horrible last update add playlist though overall offer also podcasts audio book support multiple device,Positive,"['horrible', 'last', 'update', 'add', 'playlist', 'though', 'overall', 'offer', 'also', 'podcasts', 'audio', 'book', 'support', 'multiple', 'device']",0
a3b0499e-4e1b-4ad6-aa9b-a11ba29ff78c,"More sound quality BGM , need ot add",5,sound quality bgm ot add,Positive,"['sound', 'quality', 'bgm', 'ot', 'add']",0
b7271629-4c50-4f56-9dfd-592105947627,Very enjoyable only one thing it would be nice to be able to repeat a song. Otherwise love it!!,5,enjoyable would able repeat otherwise,Positive,"['enjoyable', 'would', 'able', 'repeat', 'otherwise']",0
b439bc60-0796-4673-861d-1c040508f21a,I like this app because we can listen music and also read lyrics so we can learn to sing ......... And they don't give adds normaly so we can listen freely.,5,also read lyric learn sing give add normaly freely,Positive,"['also', 'read', 'lyric', 'learn', 'sing', 'give', 'add', 'normaly', 'freely']",0
0f694836-9a9b-401c-a86e-f07c67a02dd0,"Great music service and has almost everything I could want to listen to. I wish they'd add a few more ways to manage playlists, but the basics and more are there. They have thought out the mechanics of the app very well! Once in a while a bug surfaces, but they usually fix those really fast. Just keep it up-to-date.",5,service almost everything could wish theyd add manage playlist basic thought mechanic well bug surface usually fix fast keep uptodate,Positive,"['service', 'almost', 'everything', 'could', 'wish', 'theyd', 'add', 'manage', 'playlist', 'basic', 'thought', 'mechanic', 'well', 'bug', 'surface', 'usually', 'fix', 'fast', 'keep', 'uptodate']",0
ed797461-9d34-4809-9b52-b977dc61fcfb,High quality sound. Best UI and music algorithms of any app. I've tried most,5,high quality sound ui algorithm tried,Positive,"['high', 'quality', 'sound', 'ui', 'algorithm', 'tried']",0
9127297e-28de-4894-a4cd-0e38be4c51ca,Easy to use. It has tremendous line up of every song that you can think of. It's simply one of the best.,5,easy tremendous line every think simply,Positive,"['easy', 'tremendous', 'line', 'every', 'think', 'simply']",0
b946c0ad-7097-480a-8c63-ab3e1d77102c,I would say spotify is the best out of all other platforms mainly because of song recommendations and search algorithms and the sound quality is spot on,5,would say platform mainly recommendation search algorithm sound quality spot,Positive,"['would', 'say', 'platform', 'mainly', 'recommendation', 'search', 'algorithm', 'sound', 'quality', 'spot']",0
d8405c79-c80c-4337-8219-d55549745db1,"Works fantastic, thought I found a bug once with the syncing of lyrics. Turns out it was my fault because I ran it from phone to tablet to the Xbox to the TV. Spotify wasn't laggy, it probably had to stop for lunch and get gas considering the road trip I inadvertently sent the poor app on. To the tech team I talked to that night? Umm... Whoopsie?  Figured it out couple hours later. Y'all were top notch thou and I thank you for putting up with my brain deadness that night. Again, thanks.",5,work fantastic thought found bug syncing lyric turn fault ran phone tablet xbox tv wasnt laggy probably stop lunch gas considering road trip inadvertently sent poor tech team talked night umm whoopsie figured couple hour later yall top notch thou putting brain deadness night,Positive,"['work', 'fantastic', 'thought', 'found', 'bug', 'syncing', 'lyric', 'turn', 'fault', 'ran', 'phone', 'tablet', 'xbox', 'tv', 'wasnt', 'laggy', 'probably', 'stop', 'lunch', 'gas', 'considering', 'road', 'trip', 'inadvertently', 'sent', 'poor', 'tech', 'team', 'talked', 'night', 'umm', 'whoopsie', 'figured', 'couple', 'hour', 'later', 'yall', 'top', 'notch', 'thou', 'putting', 'brain', 'deadness', 'night']",0
baebacb1-bcb2-475b-aea0-53fb82f8a5d0,Excellent choice of playlists and never been beaten on finding an artist or song o want to hear bringing back fond memories in the ,5,choice playlist never beaten finding artist hear bringing back fond memory,Positive,"['choice', 'playlist', 'never', 'beaten', 'finding', 'artist', 'hear', 'bringing', 'back', 'fond', 'memory']",0
c54c7983-aaef-4c84-888a-813be39b9183,"Nice app for music it has mono audio, equalizer for great lows, mids snd highs and I think it has all the songs in the world and audio normalization nice app",5,mono audio equalizer low mids snd high think world audio normalization,Positive,"['mono', 'audio', 'equalizer', 'low', 'mids', 'snd', 'high', 'think', 'world', 'audio', 'normalization']",0
f649f89d-f2f7-4d13-a0dd-2031fb8fb56b,"The app itself is amazing. I can listen to my favorite artists and also it international , so I can listen to to new artists",5,favorite artist also international new artist,Positive,"['favorite', 'artist', 'also', 'international', 'new', 'artist']",0
0fdee11e-fd59-4eb8-b201-059e144c8baf,It is an excellent mix of music for our road trip. Loving it ,5,mix road trip loving,Positive,"['mix', 'road', 'trip', 'loving']",0
afc16362-4605-42ed-bb15-8403f7530462,"It would be visually appealing to remove the transparent shadow from the status bar, it looked better when it didn't have that shadow and was completely transparent.",4,would visually appealing remove transparent shadow status bar looked didnt shadow completely transparent,Positive,"['would', 'visually', 'appealing', 'remove', 'transparent', 'shadow', 'status', 'bar', 'looked', 'didnt', 'shadow', 'completely', 'transparent']",0
8765ec2c-fbb2-46a2-90d4-cace8df9bc03,Quality / Song selection is outstanding,5,quality selection outstanding,Positive,"['quality', 'selection', 'outstanding']",0
d7a8afae-606b-461d-bbf5-e935cb62f8b8,"Excellent musical experience. Transition from one device to another is perfect. Selection is outstanding, whether it be music, audiobooks, or podcasts Enjoy the suggestions I receive as I have introduced to musicians and music that I never knew was out there.",5,musical experience transition device another perfect selection outstanding whether audiobooks podcasts suggestion receive introduced musician never knew,Positive,"['musical', 'experience', 'transition', 'device', 'another', 'perfect', 'selection', 'outstanding', 'whether', 'audiobooks', 'podcasts', 'suggestion', 'receive', 'introduced', 'musician', 'never', 'knew']",0
c70ecef6-bea0-4607-800d-0ed1cbbac5c5,"Great app, buggy here and there but selection and features are pretty good. My only complaint is that there's no way to directly report a bug within the app, instead you must go to their website",5,buggy selection feature pretty complaint directly report bug within instead must go website,Positive,"['buggy', 'selection', 'feature', 'pretty', 'complaint', 'directly', 'report', 'bug', 'within', 'instead', 'must', 'go', 'website']",0
d3a88362-8522-4afb-a619-5e7de801aadf,excellent medley of songs to choose from. would be great if lyrics were there too,5,medley choose would lyric,Positive,"['medley', 'choose', 'would', 'lyric']",0
f71804f0-64fd-47ae-af9d-47d88054daa6,UR OFFLINE OPPERATING SYSTEM IS SLOWER THAN A NEANDERTHAL ON H,5,ur offline opperating system slower neanderthal h,Positive,"['ur', 'offline', 'opperating', 'system', 'slower', 'neanderthal', 'h']",0
4ec36e05-23c4-47bc-bd2e-391e43a2e5b2,"Fantastic user friendly interface, I prefer this to any other music app.",5,fantastic user friendly interface prefer,Positive,"['fantastic', 'user', 'friendly', 'interface', 'prefer']",0
99544cf7-20da-4b57-bedc-66ce0be8f35a,It is good music app but it misses most of songs of motion pictures and there are no songs of Linkin Park please try to add them,5,miss motion picture linkin park please try add,Positive,"['miss', 'motion', 'picture', 'linkin', 'park', 'please', 'try', 'add']",0
740c577a-c91b-4ca7-92f5-d51f61e03ae6,"Love this app. Good for everything -news reports, audio books, all kinds of podcasts, and of course music, music, music! It's easy to create music lists for any and all occasions. Search by genre, performer. Composer. Era and just about anything you can think of. I have never searched for a piece of music and not found it. This is the only app you need for things audible! I'd give it 10 stars if I could! And it's free!",5,everything news report audio book kind podcasts course easy create list occasion search genre performer composer era anything think never searched piece found audible id give 10 star could free,Positive,"['everything', 'news', 'report', 'audio', 'book', 'kind', 'podcasts', 'course', 'easy', 'create', 'list', 'occasion', 'search', 'genre', 'performer', 'composer', 'era', 'anything', 'think', 'never', 'searched', 'piece', 'found', 'audible', 'id', 'give', '10', 'star', 'could', 'free']",0
54796be9-d4ac-4e0e-8045-c89221db2b69,"I use spotify for all of my parties,and casual listening. I also listen to podcasts. This app is great for all of my media needs.",5,partiesand casual also podcasts medium,Positive,"['partiesand', 'casual', 'also', 'podcasts', 'medium']",0
c9da6de7-c854-4ca9-9922-f263bed10c65,"I've switched from Pandora. so easy to use and search, select and build - love it.",5,switched pandora easy search select build,Positive,"['switched', 'pandora', 'easy', 'search', 'select', 'build']",0
2f036564-bb26-479f-9303-f54a3199e19e,"Great selection of music, and it updates with the latest music.",5,selection update latest,Positive,"['selection', 'update', 'latest']",0
f169dcf4-282c-4298-a2e1-7b9db08af20d,"Enjoyable, easy to use, sounds good. Discovery, managing music, downloads all work well. Wish there was one more level of higher sound quality that matches Radio Paradise or Qobuz for when I stream on my high-end home audio system. Still waiting for one level up sound quality but AI DJ is great",4,enjoyable easy sound discovery managing downloads work well wish level higher sound quality match radio paradise qobuz stream highend home audio system still waiting level sound quality ai dj,Positive,"['enjoyable', 'easy', 'sound', 'discovery', 'managing', 'downloads', 'work', 'well', 'wish', 'level', 'higher', 'sound', 'quality', 'match', 'radio', 'paradise', 'qobuz', 'stream', 'highend', 'home', 'audio', 'system', 'still', 'waiting', 'level', 'sound', 'quality', 'ai', 'dj']",0
