reviewId,content,score
eefa199f-9a13-42e6-a9a7-14037134d694,"So much software to improve but nothing has changed since I joined years ago. Search and sorting buttons hidden above the screen, Can't skip forward by holding down the skip button anymore, artists get paid very little even tho the service is expensive for customers and they're the leading platform, Many settings missing in the app (forced to open their website), Only 4 playlist pins, No more radio episodes even tho podcasts are allowed (with video even) and more...",1
cda50701-da48-4325-87ce-3f9d27763fa0,Now the app keeps stopping for no reason,1
8b659206-b28a-4c83-9d39-95ca4e809781,Yay u fixed it🤣🫂,4
7457a06e-1627-4d08-90e1-20217dce2b59,Apss boring,1
5e660d6e-cae6-44cc-bebd-edda574b4e23,"Expensive as hell, to just listen to music BUT worth the money. If you want my advice gather friends, make someone create a family acc and split the money, its gonna come around to 2-4€",4
d950d1a8-5fe4-43ca-aed5-94630e3ae6b7,Thank you,5
fe3cfba4-868e-4653-b3b6-3b1eb9932fe7,good,5
1d98f250-321c-4e3b-8210-2ad9750e5f66,It good...,5
43968771-8c25-4104-8492-afef704e0c61,Very good,5
5ed9fbee-f44f-48dc-b4b8-f035665cc499,Worst experience ever had in all these updates,1
5d2bb20c-eec1-4555-b48b-b8d5882d1dc7,"Each and every update for this app somehow makes the app worse and worse. Horrible UI changes for no reason at all and everything has started running at a snails pace since the latest update, it takes 3-5s to load anything, even something as simple as pausing a song takes 2-3s. For the past year or so I've also frequently encountered a problem where it doesn't let me play any songs, downloaded or not, with or without WiFi. I pay for music, not for you to continually make the app worse.",1
361a5816-a0a6-44dc-b3a7-f7a87d3fa2be,"Wezcie naprawcie tą aplikacje bo juz mnie irytuje. Mam perfekcyjny internet, wszystko inne mi sie laduje, a profil na spotify oczywiscie nie + nic wyszukac nie mogę, bo utknę na ekranie ładowania. To jeden problem, gorzej jak czasami w ogóle nic nie pokazuje i mam czarny ekran. Mam najnowszą wersje spotify do tego za premium płacę, więc jednak fajnie byłoby jakby to uzytkowanie spotify nie bylo mi utrudniane😒",2
4a8364a1-9a05-4e0d-aabe-a796fe2b7765,"Any tracks that are not in my playlist will not play. The app will load the album art, the lyrics, info about the track/artist/etc, but will not play the track itself.",1
e2bb47fd-751d-41ee-b140-deb01f97be32,"Die Android App läuft bei mir seit kurzem nicht mehr richtig. Je länger ich sie verwende, desto schlimmer laggt sie. Irgendwann dauert es Sekunden bis sie auf irgendwelche Inputs reagiert.",2
19fa280c-b841-4762-9758-a8fe49d629db,we can't even choose what songs to play anymore and it keeps playing the same songs over and over!,1
ef83f7d6-ac46-4d35-86ba-cb9ae4040c11,"1. When resuming a song after a while without an internet connection, it doesn't load. I have to skip back. 2. I hit the ""loop only one"" song button and it looped from where I hit the button, not from the beginning of the song. 3. Sometimes the desktop app bugs out when I want to play a song from my phone and it removes the song 4. How hard is it to switch from offline mode to online when I switch back to the app after a longer time?",1
4370e6f4-80a3-47d8-81bc-87aa182cd7c8,"Everything anyone could ask for even personalised to all your different playlists on a daily basis, don't know what I'd do without Spotify. Absolute champions",5
7af0af68-413a-4c06-82de-96b50a3b543a,It's the worst music app I've ever seen since it requires premium in almost everything and the ads are just horrible. It's getting worse day by day.,1
e1104289-2905-468c-be97-44d189c22011,"In the last update they made the following only for premium users: lyrics, queuing songs, picking a specific song to listen to, AI recommendations, AND OFFLINE LISTENING. THEY MADE OFFLINE A PREMIUM FEATURE! You can now only listen to your own playlists in randomized orders. This billion dollar company has now chosen to restrict users instead of add new content. I recommend everyone leave a 1 star, delete app, and move playlists to YouTube or another app. Money hungry losers. BE THE CHANGE",1
c74b1113-3eae-4332-b8d2-353291847d60,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1
fb09a322-f2e6-4ec4-b8eb-6a9f5943411f,Nice,5
dacbba73-0c5c-45b6-b321-47fcb857c719,Best,5
cd65df5a-b0da-48bf-be21-e67dea0ed024,"i've heard a lot of bs about this app, so i was hesitant at first. but it's great :D edit: okay, what? excuse me? the bs i heard was right. okay, like 5 minutes ago, i could play music with no ads. now, there's ads, random music in my personal playlists, and it just sucks. thanks a lot. now, i have to get premium. and i can't get it. i'm not allowed to get premium. y'all suck. i'm only keeping this app for the podcast Inspired Source because they post Markiplier playing games.",1
af849889-cb63-48ef-b08d-c0bbcb83183b,For the most part is good. I would want an improvement in algorithms or whatever they're called? To know that I don't want to hear the same song more than once within a 24-hour period. I have many songs saved of certain artists and bands that I never played unless I looked for him on my lists. Why is that I don't want to hear the same song within the 24-hour period. It makes it boring. Even though I do have skip unlimited. Still you're not going to recognize the songs that are at least played.,3
054038cb-75fc-4102-8a20-f14366e33d09,Asking too many Irrelevant questions and songs are not play.,1
4c8a30da-c62e-4cfe-8489-ba5a568ae932,Great,5
86bd1430-5286-4b78-ba8b-c1f3eb970003,😃 Grat,5
f51a0b97-b54c-4554-abc0-6c2234942776,Love this app! Has everything! No lags! AMAZING APP!!,5
f3b8405f-5520-4903-8a5c-44ebd866a0f3,Love it,5
cc034c5f-b0af-49b3-b200-42d7e0239dca,Mood app .👈,5
7bb40aa7-9ada-47a4-9ee0-cde8564937f6,Very good 👍,5
0dc86a72-d049-4c24-8da7-37ecc954c908,Poor experience. Always shown buying message.,1
34cbd9b2-6c94-47c2-b360-451d5f96ec30,🤮🤮🤮🤮🤮🤮🤮,1
87717c0a-fcb8-4238-a780-269f0b6ee1d1,I love spotify because of bts7 only.. excellent,5
0704b053-0185-44a6-af4f-02de62bf056e,Recent update means I can't pick which song to play in my liked songs and it shuffles them the exact same way everytime I click play. FIX THIS PLEASE SICK OF HEARING THE SAME SONGS,1
4fe3465a-847c-45c8-826b-dadba0c87a0c,The Dynamics are much higher in the music when I listen to Spotify versus Pandora. I don't know if that's due to the controls within the app or because they use less compression. Either way it is a superior product. Personally for me there's no going back.,5
1d69fdd0-50a5-4279-9060-840b872fa9c0,This app sucks rahhhhhhhhhhhhh!,1
dce0e2b6-a53d-4290-a82c-9bab7cddb6d0,"Its a great app, we need reduce on the frequency of update,",4
21def292-62af-485c-9f38-d733270260c7,"Phenomenal platform, keep it 💯 up",5
e814d5f6-73ce-4344-8711-8b51f8803e18,Too many ads pushing for premium,3
91b38238-dce6-46bf-a87f-14b6686a0387,"Great streaming app, highly recommend.",5
b947a643-f116-4f57-91cf-4995c96137d8,Perfect app for playing music,5
5359a196-01c7-4ded-96b5-f9f28a92d1ac,I think it's lagging my playlist all the song are delete,1
c7a0d898-8dec-401b-a605-7bee559f2769,Worst app after the update Remove all the premiums to grow,1
8d1a7c26-4feb-4553-a9da-3615616c88c7,Once Spotify was my favourite🥰 but now I really don't have words to describe😕.Dude🗣️you are asking me to go for premium but I can't even afford a🍫😮‍💨ofcourse u provide free premium service for students upto a month and after that😅it's back(our normal life) I know it's ur business trick to earn and I'm not opposing it but I kindly request you to reduce the adds🥲.This is my first time writing a review🥹and thank you for having only 500 words option orelse I was about to write a whole story,3
59b57cf2-cf9d-448a-ac10-ad5333cc79d8,"The app stopped working on my phone, I had to delete all offline songs, clear cache and reinstall it, even restarted my phone still nothing.",4
cb88261f-0160-4b0b-b93b-44320c98848b,Good,5
8d1469f1-541a-4330-aff7-f57b418a371c,Is good and efficiently,5
fc994537-77b4-4368-9b1d-533878082a96,My favorite happy to listen to music on,5
1aabac15-faed-47f7-bb0d-9bc6e548d2dc,fantastic,5
275d58eb-7369-4c19-8e75-ae7f03353301,More ads,1
1c600f38-e67b-4e56-aa25-20752d9fcf90,A great app for listening to music❤️,5
24bfed94-9564-45e5-9f31-c10903ffb8a2,"The app is really great, but when are we gonna get the AI DJ in Bulgaria?",5
